,Heart Rate,Time
1158,73,02:17:30
1159,76,02:17:45
1160,77,02:17:50
1161,77,02:18:05
1162,77,02:18:10
1163,79,02:18:15
1164,78,02:18:20
1165,75,02:18:25
1166,74,02:18:30
1167,73,02:18:35
1168,75,02:18:40
1169,77,02:18:45
1170,72,02:18:50
1171,73,02:18:55
1172,73,02:19:02
1173,74,02:19:12
1174,74,02:19:17
1175,74,02:19:22
1176,76,02:19:27
1177,75,02:19:32
1178,75,02:19:37
1179,74,02:19:42
1180,75,02:19:47
1181,76,02:19:52
1182,75,02:19:57
1183,77,02:20:02
1184,79,02:20:12
1185,76,02:20:17
1186,74,02:20:22
1187,77,02:20:27
1188,75,02:20:32
1189,75,02:20:37
1190,75,02:20:52
1191,77,02:21:02
1192,77,02:21:17
1193,78,02:21:22
1194,76,02:21:32
1195,76,02:21:42
1196,77,02:21:47
1197,78,02:21:52
1198,78,02:21:57
1199,78,02:22:04
1200,80,02:22:09
1201,81,02:22:19
1202,94,02:22:24
1203,97,02:22:29
1204,88,02:22:34
1205,77,02:22:39
1206,71,02:22:49
1207,72,02:22:54
1208,71,02:22:59
1209,75,02:23:04
1210,74,02:23:09
1211,73,02:23:14
1212,68,02:23:19
1213,72,02:23:24
1214,74,02:23:29
1215,77,02:23:34
1216,72,02:23:39
1217,76,02:23:44
1218,72,02:23:49
1219,73,02:23:54
1220,71,02:23:59
1221,72,02:24:04
1222,74,02:24:09
1223,70,02:24:15
1224,72,02:24:25
1225,74,02:24:30
1226,75,02:24:35
1227,79,02:24:40
1228,75,02:24:45
1229,72,02:24:50
1230,73,02:24:55
1231,74,02:25:00
1232,70,02:25:10
1233,73,02:25:15
1234,73,02:25:30
1235,72,02:25:45
1236,71,02:25:50
1237,70,02:26:00
1238,70,02:26:05
1239,68,02:26:15
1240,86,02:26:25
1241,85,02:26:30
1242,80,02:26:35
1243,75,02:26:40
1244,74,02:26:45
1245,70,02:26:50
1246,71,02:27:00
1247,70,02:27:05
1248,72,02:27:11
1249,74,02:27:21
1250,76,02:27:26
1251,72,02:27:41
1252,71,02:27:46
1253,73,02:27:51
1254,75,02:27:56
1255,77,02:28:01
1256,79,02:28:11
1257,76,02:28:16
1258,75,02:28:21
1259,77,02:28:26
1260,80,02:28:31
1261,70,02:28:36
1262,74,02:28:41
1263,76,02:28:46
1264,75,02:28:51
1265,77,02:28:56
1266,78,02:29:01
1267,83,02:29:16
1268,89,02:29:21
1269,85,02:29:26
1270,84,02:29:31
1271,83,02:29:36
1272,83,02:29:41
1273,83,02:29:46
1274,84,02:29:53
1275,85,02:29:58
1276,84,02:30:03
1277,84,02:30:18
1278,83,02:30:23
1279,82,02:30:28
1280,81,02:30:33
1281,80,02:30:48
1282,79,02:31:03
1283,79,02:31:08
1284,79,02:31:13
