,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
459,1.55965420656e+18,-0.4683282077,0.4954675734,-0.9875446558
460,1.55965420681e+18,1.431685209,-4.60000658,-1.970098495
461,1.55965420706e+18,-0.4465292394,-0.6337468624,-1.168684006
462,1.55965420731e+18,-0.2051985264,1.1846807,2.634747267
463,1.55965420756e+18,-0.3447607756,0.9170414805,1.647651315
464,1.55965420781e+18,1.489571452,-2.057150126,-0.8253421187
465,1.55965420806e+18,-0.813811779,0.7375622988,-3.315502167
466,1.55965420831e+18,0.3239428103,0.7439824939,1.403952241
467,1.55965420856e+18,-0.5847374201,1.143284678,0.3934026361
468,1.55965420881e+18,-0.271622777,1.192577481,1.93260169
469,1.55965420906e+18,-0.6033209562,-0.6148631573,-2.808122158
470,1.55965420931e+18,-0.4678578973,0.05386055633,-2.866023779
471,1.55965420956e+18,-0.3082811534,-0.3120050728,0.5341371894
472,1.55965420981e+18,1.183447123,0.1057842895,1.633836627
473,1.55965421006e+18,-1.403829813,2.490418196,1.395061255
474,1.5596542103e+18,-0.8646242619,1.353547454,1.381952167
475,1.55965421055e+18,-0.3131961524,-2.351853609,-2.789166689
476,1.5596542108e+18,-0.8542124033,-0.4689036012,-0.3095134199
477,1.55965421105e+18,-1.748192072,0.8670448661,2.328796148
478,1.5596542113e+18,-2.071546793,2.729346752,0.7736156583
479,1.55965421155e+18,-1.423501372,2.101308823,0.5960669518
480,1.5596542118e+18,0.9766996503,-2.03694129,-1.641712785
481,1.55965421205e+18,0.564956367,-1.63279736,-1.733546853
482,1.5596542123e+18,-1.074797392,0.3712868392,2.874621391
483,1.55965421255e+18,-0.2062229216,0.2801588774,2.809394121
