,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2019-06-04 13:00:27.049999,-4.27883512444,1.82230923578,5.78589804219,1021.891992,-2.20900237886,1.91978181067,-0.651555173956,-16.6274996997,26.2949996,-30.4349989887,-0.953334130408,-2.31627035868,-6.34242552527,104.75,1,0,0,0,0.0594764690455,0.0582310897977,0.213788371282,-0.291933827207,-0.121134320134,0.181224768896,0.0471005511403
2019-06-04 13:00:27.549999,-6.7863325593,-6.6481827737,6.65129527974,1021.863623,1.37537838808,-0.35419801473,0.63262610436,-5.39249986468,22.9499993333,-34.7324998387,-3.7146044975,-3.92191237259,-0.425008237125,104.8,1,0,0,0,-0.0606587746506,-0.170210724129,0.192519203557,-0.00832348891652,0.211506304305,0.145843285691,-0.14102871621
2019-06-04 13:00:28.049999,-4.1437714344,1.87591431135,4.3597350836,1021.794238,-1.27186728548,-0.8425236457,1.2334731699,-3.77333328444,29.3466656462,-26.8533327311,-1.02219267694,-4.98907187197,-4.34562004964,104.85,1,0,0,0,-0.0837304317181,-0.0560711125138,0.140805820952,-0.0470807245544,0.116216896196,0.256517037037,0.106677359446
2019-06-04 13:00:28.549999,-4.39854890711,-8.5105830232,10.1112887054,1021.9347168,-1.28741029651,-0.446913734257,1.67977809699,13.3649997705,21.7274996037,-34.6199991687,-2.21249717484,2.21059333519,-1.82829338308,104.9,1,0,0,0,-0.157535213439,-0.149741624255,0.213497425609,-0.0346207978072,0.186387686721,-0.157894208906,0.121210514581
2019-06-04 13:00:29.049999,-0.27007419751,-7.42680105346,3.88399260935,1021.8607908,0.75681618609,-0.407526550059,1.35546295351,24.674999235,33.6299989212,-7.5074997403,-2.327994749,-4.80499127485,-1.74010080053,104.95,1,0,0,0,-0.19033479928,-0.318593342458,-0.0224705421186,0.0822305858002,0.094884864143,0.14752361251,0.134873801289
2019-06-04 13:00:29.549999,-6.66672530456,-2.56400223578,9.661430994,1021.779199,-1.92515372734,0.441080692778,0.418952213256,30.1199993556,2.39999992963,-28.7333327411,-0.9318146971,0.131311310667,-1.34452952273,105.0,1,0,0,0,-0.40639094388,0.0581564990084,0.2014222588,-0.0724273791877,0.00393755121882,-0.0864060709989,0.0883094022008
2019-06-04 13:00:30.049999,-2.6095200568,-7.35832461693,5.4129765506,1021.8440918,1.74018706218,0.20584326669,-0.214155294105,31.852499485,22.019999265,-15.3749998812,-0.0165224364875,-4.81286609137,-1.33717668087,104.6,1,0,0,0,-0.276955423136,-0.218662692373,0.0544006890389,0.0265718084716,0.00213610499035,0.100744079147,-0.0138987592407
2019-06-04 13:00:30.549999,-3.04288386686,-6.27419713024,6.0175308825,1021.8221192,-0.94542087909,-0.076926203,0.42994104032,26.2649993887,23.8724993463,-20.1149994145,1.607768625,-6.445995123,-5.1848867545,104.2,1,0,0,0,-0.260350386708,-0.137450274103,0.111408417047,-0.151532406393,0.0244778538843,0.068313625987,0.192859322798
2019-06-04 13:00:31.049999,-1.98352368019,-2.21763060449,4.15114059711,1021.852246,-0.426701261056,-1.0906299716,-0.233587616078,32.7666659867,19.5733329989,-14.7666662761,1.09552537067,-2.33070812608,2.89092561943,103.8,1,0,0,0,-0.287798783274,-0.125834065325,0.0483810147627,0.127178342736,-0.0624140564499,0.038433697016,0.0228393111177
2019-06-04 13:00:31.549999,-3.6615644216,-8.19033510374,6.4209662679,1021.786084,-0.05826126639,-0.83171141144,0.86939745552,29.2349989425,27.0899996762,-11.1299996974,3.80430263298,-4.203822046,-1.13250106655,103.4,1,0,0,0,-0.284817854586,-0.233030986549,0.0920069547674,-0.00787630197386,0.0108196213869,0.0684638912623,0.135922498793
