,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
211,1.55965376576e+18,52.33628531,4.868280524,6.680080414,1.24000001,27.7734375,10.0,10.0
212,1.55965376676e+18,52.33629692,4.868288152,6.544033051,1.299999952,13.359375,10.0,10.0
213,1.55965376776e+18,52.33631318,4.868296869,6.668849945,1.299999952,26.015625,10.0,10.0
214,1.55965376876e+18,52.33632881,4.868307095,6.65328598,1.539999962,20.0390625,10.0,10.0
215,1.55965376976e+18,52.33634365,4.868319668,6.489711761,1.539999962,23.203125,10.0,10.0
216,1.55965377076e+18,52.33635438,4.868326541,6.286342621,1.139999986,15.46875,10.0,10.0
217,1.55965377176e+18,52.33636913,4.868336683,5.927822113,1.549999952,23.90625,10.0,10.0
218,1.55965377276e+18,52.33638187,4.86835001,5.986415863,1.139999986,32.6953125,10.0,10.0
219,1.55965377376e+18,52.33639122,4.868359733,5.943325043,1.129999995,82.96875,10.0,10.0
220,1.55965377476e+18,52.33639813,4.868362919,6.059841156,0.6399999857,339.2578125,10.0,10.0
221,1.55965377576e+18,52.33639813,4.868362919,6.001186371,0.0,8.4375,10.0,10.0
222,1.55965377676e+18,52.33641615,4.86836778,5.730800629,1.169999957,18.28125,10.0,10.0
223,1.55965377776e+18,52.33643451,4.86837239,5.534145355,1.169999957,0.0,10.0,10.0
224,1.55965377876e+18,52.33645441,4.868376749,5.365200043,1.169999957,12.3046875,10.0,10.0
225,1.55965377976e+18,52.33647797,4.868383035,5.107570648,1.370000005,23.90625,10.0,10.0
226,1.55965378076e+18,52.33650525,4.868392842,4.825405121,1.99000001,20.390625,10.0,10.0
227,1.55965378176e+18,52.33653015,4.868401391,4.696071625,1.99000001,18.6328125,10.0,10.0
228,1.55965378276e+18,52.33654775,4.868404074,4.622524261,1.529999971,338.203125,10.0,10.0
229,1.55965378376e+18,52.33656049,4.868404074,4.622463226,0.4900000095,6.328125,10.0,10.0
230,1.55965378476e+18,52.33657646,4.868402649,4.613491058,0.4900000095,5.2734375,10.0,10.0
231,1.55965378576e+18,52.33659418,4.868400721,4.832424164,1.159999967,337.5,10.0,10.0
232,1.55965378676e+18,52.33660923,4.868397871,4.998683929,1.159999967,343.828125,10.0,10.0
233,1.55965378776e+18,52.33661795,4.868396949,5.10226059,0.9700000286,0.703125,10.0,10.0
234,1.55965378876e+18,52.33663018,4.868400553,5.061916351,0.9700000286,17.578125,10.0,10.0
235,1.55965378976e+18,52.3366428,4.868406588,5.089626312,0.6600000262,3.515625,10.0,10.0
236,1.55965379076e+18,52.3366552,4.868417149,5.233974457,0.7599999905,38.671875,10.0,10.0
237,1.55965379176e+18,52.33666631,4.868425615,5.218349457,0.7599999905,29.8828125,10.0,10.0
238,1.55965379276e+18,52.33667457,4.868433746,5.38741684,0.6600000262,54.140625,10.0,10.0
239,1.55965379376e+18,52.33668052,4.868437685,5.388027191,0.5099999905,286.875,10.0,10.0
240,1.55965379476e+18,52.33669372,4.868436931,5.74489975,0.5099999905,357.1875,10.0,10.0
241,1.55965379576e+18,52.33670922,4.868436176,5.81734848,1.340000033,357.5390625,10.0,10.0
242,1.55965379676e+18,52.33672029,4.868437182,5.563869476,1.340000033,0.0,10.0,10.0
243,1.55965379776e+18,52.33673269,4.868434165,5.734767914,1.25,352.96875,10.0,10.0
244,1.55965379876e+18,52.3367495,4.868430225,5.688564301,1.25,347.34375,10.0,10.0
245,1.55965379976e+18,52.33676693,4.868426956,5.806118011,1.539999962,352.6171875,10.0,10.0
246,1.55965380076e+18,52.33677674,4.868427543,5.343349457,0.6299999952,66.09375,10.0,10.0
247,1.55965380176e+18,52.3367803,4.868429303,5.223293304,0.6299999952,74.53125,10.0,10.0
248,1.55965380276e+18,52.33677699,4.868438942,5.312099457,0.6299999952,111.796875,10.0,10.0
249,1.55965380376e+18,52.33677041,4.868453778,5.274318695,1.139999986,123.046875,10.0,10.0
250,1.55965380476e+18,52.33677569,4.868470877,4.774562836,1.159999967,93.515625,10.0,10.0
251,1.55965380576e+18,52.33678877,4.86848521,4.802761078,1.330000043,46.7578125,10.0,10.0
252,1.55965380676e+18,52.33680562,4.868489234,4.81734848,1.330000043,22.8515625,10.0,10.0
253,1.55965380776e+18,52.33682334,4.868486719,4.786952972,1.330000043,13.0078125,10.0,10.0
254,1.55965380876e+18,52.33684275,4.868479678,4.741725922,1.49000001,359.296875,10.0,10.0
255,1.55965380976e+18,52.33686094,4.868471045,4.712978363,1.49000001,354.7265625,10.0,10.0
256,1.55965381076e+18,52.33687896,4.868461657,5.027065277,1.639999986,350.859375,10.0,10.0
257,1.55965381176e+18,52.33689593,4.868455287,5.331752777,1.639999986,357.5390625,10.0,10.0
258,1.55965381276e+18,52.33691194,4.868451096,5.495449066,1.539999962,0.3515625,10.0,10.0
259,1.55965381376e+18,52.33692577,4.868450258,5.461818695,1.529999971,6.6796875,10.0,10.0
260,1.55965381476e+18,52.33693897,4.86845227,5.464382172,1.389999986,27.7734375,10.0,10.0
261,1.55965381576e+18,52.3369518,4.868454365,5.582546234,1.429999948,5.2734375,10.0,10.0
262,1.55965381676e+18,52.33696458,4.868457718,5.616847992,1.440000057,10.1953125,10.0,10.0
263,1.55965381776e+18,52.33697812,4.868458724,5.820583344,1.440000057,6.328125,10.0,10.0
264,1.55965381876e+18,52.33698905,4.868459897,5.986354828,1.440000057,33.046875,10.0,10.0
265,1.55965381976e+18,52.33699874,4.868461825,5.867824554,1.230000019,6.328125,10.0,10.0
266,1.55965382076e+18,52.33701215,4.868463669,5.648708344,1.49000001,11.6015625,10.0,10.0
267,1.55965382176e+18,52.33702334,4.868464926,5.470607758,1.49000001,16.5234375,10.0,10.0
268,1.55965382276e+18,52.33703645,4.868463501,5.351406097,1.49000001,3.515625,10.0,10.0
269,1.55965382376e+18,52.33705217,4.868462663,5.280483246,1.519999981,2.8125,10.0,10.0
270,1.55965382476e+18,52.33706898,4.868458891,5.43050766,1.539999962,355.78125,10.0,10.0
271,1.55965382576e+18,52.33708503,4.868453862,5.645717621,1.549999952,355.4296875,10.0,10.0
272,1.55965382676e+18,52.33710058,4.868447827,5.705654144,1.620000005,352.265625,10.0,10.0
273,1.55965382776e+18,52.33711763,4.868441792,5.700466156,1.620000005,353.671875,10.0,10.0
274,1.55965382876e+18,52.33713427,4.86843735,5.683620453,1.620000005,352.6171875,10.0,10.0
275,1.55965382976e+18,52.33714722,4.868433746,5.478115082,1.5,352.265625,10.0,10.0
276,1.55965383076e+18,52.33715615,4.868432069,5.684597015,0.6100000143,358.2421875,10.0,10.0
277,1.55965383176e+18,52.33716667,4.868433746,5.847927094,1.330000043,3.1640625,10.0,10.0
