"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.344736420E2,5.209959830E1,5.133660380E0,1.644985199E0,2.849999905E0,1.054687500E1,1.000000000E1,1.000000000E1
1.354736400E2,5.209961829E1,5.133674042E0,1.906703949E0,2.849999905E0,1.933593750E1,1.000000000E1,1.000000000E1
1.364736385E2,5.209964294E1,5.133686112E0,2.037136078E0,2.250000000E0,1.265625000E1,1.000000000E1,1.000000000E1
1.374736366E2,5.209967131E1,5.133694159E0,2.384731293E0,2.019999981E0,9.492187500E0,1.000000000E1,1.000000000E1
1.384736356E2,5.209971452E1,5.133703128E0,2.502285004E0,3.069999933E0,6.679687500E0,1.000000000E1,1.000000000E1
1.394736333E2,5.209976942E1,5.133724334E0,2.146022797E0,3.069999933E0,1.230468750E1,1.000000000E1,1.000000000E1
1.404736319E2,5.209982239E1,5.133757610E0,2.390895844E0,4.050000191E0,2.250000000E1,1.000000000E1,1.000000000E1
1.414736300E2,5.209987138E1,5.133791221E0,2.730556488E0,4.309999943E0,1.968750000E1,1.000000000E1,1.000000000E1
1.424736279E2,5.209990990E1,5.133810667E0,2.808803558E0,3.789999962E0,1.300781250E1,1.000000000E1,1.000000000E1
1.434736265E2,5.209996392E1,5.133813350E0,2.368251801E0,3.789999962E0,1.089843750E1,1.000000000E1,1.000000000E1
1.444736246E2,5.210001212E1,5.133823911E0,2.454128265E0,3.650000095E0,1.652343750E1,1.000000000E1,1.000000000E1
1.454736234E2,5.210005558E1,5.133842183E0,2.368495941E0,3.359999895E0,1.335937500E1,1.000000000E1,1.000000000E1
1.464736221E2,5.210010289E1,5.133877806E0,2.225368500E0,3.349999905E0,2.566406250E1,1.000000000E1,1.000000000E1
1.474736203E2,5.210013667E1,5.133906892E0,2.308132172E0,3.349999905E0,3.058593750E1,1.000000000E1,1.000000000E1
1.484736190E2,5.210022883E1,5.133938156E0,2.556240082E0,3.349999905E0,2.917968750E1,1.000000000E1,1.000000000E1
1.494736168E2,5.210024635E1,5.133949220E0,2.669155121E0,1.889999986E0,2.917968750E1,1.000000000E1,1.000000000E1
1.504736149E2,5.210027535E1,5.133951651E0,1.412075043E0,1.879999995E0,7.382812500E0,1.000000000E1,1.000000000E1
1.514736128E2,5.210029932E1,5.133951735E0,1.347682953E0,1.889999986E0,1.230468750E1,5.000000000E0,5.000000000E0
1.524736112E2,5.210032837E1,5.133957099E0,1.893215179E0,1.730000019E0,1.406250000E1,5.000000000E0,5.000000000E0
1.534736098E2,5.210034831E1,5.133965230E0,1.926357269E0,1.730000019E0,2.460937500E1,5.000000000E0,5.000000000E0
1.544736090E2,5.210036319E1,5.133977300E0,2.050136566E0,1.259999990E0,3.902343750E1,1.000000000E1,1.000000000E1
1.554736067E2,5.210037631E1,5.134021472E0,2.223415375E0,1.259999990E0,7.171875000E1,5.000000000E0,5.000000000E0
1.564736049E2,5.210038335E1,5.134083331E0,2.213832855E0,2.970000029E0,8.789062500E1,5.000000000E0,5.000000000E0
1.574736034E2,5.210038335E1,5.134143177E0,2.291225433E0,3.079999924E0,9.667968750E1,5.000000000E0,5.000000000E0
1.584736018E2,5.210038075E1,5.134201935E0,2.510524750E0,3.079999924E0,9.914062500E1,5.000000000E0,5.000000000E0
1.594736000E2,5.210037514E1,5.134266308E0,2.640102386E0,3.079999924E0,1.037109375E2,1.000000000E1,1.000000000E1
1.604735988E2,5.210036680E1,5.134332022E0,2.561367035E0,3.359999895E0,1.082812500E2,1.000000000E1,1.000000000E1
1.614735970E2,5.210036097E1,5.134407459E0,2.657436371E0,3.630000114E0,1.103906250E2,1.000000000E1,1.000000000E1
1.624735956E2,5.210035678E1,5.134470323E0,2.510524750E0,3.190000057E0,1.128515625E2,1.000000000E1,1.000000000E1
1.634735938E2,5.210034802E1,5.134520279E0,2.462368011E0,3.190000057E0,1.237500000E2,1.000000000E1,1.000000000E1
1.644735919E2,5.210032749E1,5.134572582E0,2.597743988E0,3.190000057E0,1.335937500E2,1.000000000E1,1.000000000E1
1.654735901E2,5.210030188E1,5.134626981E0,2.180080414E0,4.019999981E0,1.339453125E2,1.000000000E1,1.000000000E1
1.664735889E2,5.210028721E1,5.134663191E0,1.839809418E0,4.019999981E0,1.339453125E2,5.000000000E0,5.000000000E0
1.674735872E2,5.210026533E1,5.134700406E0,2.175685883E0,2.730000019E0,1.357031250E2,5.000000000E0,5.000000000E0
1.684735848E2,5.210023897E1,5.134736281E0,2.202175140E0,2.859999895E0,1.364062500E2,1.000000000E1,1.000000000E1
1.694735838E2,5.210021848E1,5.134763857E0,2.419460297E0,2.730000019E0,1.251562500E2,1.000000000E1,1.000000000E1
1.704735818E2,5.210020565E1,5.134793865E0,2.503932953E0,2.410000086E0,1.188281250E2,1.000000000E1,1.000000000E1
1.714735810E2,5.210018675E1,5.134867709E0,2.377712250E0,2.410000086E0,1.174218750E2,5.000000000E0,5.000000000E0
1.724735793E2,5.210017074E1,5.134912049E0,2.434780121E0,3.549999952E0,1.237500000E2,1.000000000E1,1.000000000E1
1.734735776E2,5.210016789E1,5.134962173E0,2.522975922E0,3.549999952E0,1.202343750E2,5.000000000E0,5.000000000E0
1.744735754E2,5.210016299E1,5.134995701E0,2.423305511E0,2.619999886E0,1.226953125E2,5.000000000E0,5.000000000E0
1.754735742E2,5.210015314E1,5.135027217E0,2.526699066E0,2.519999981E0,1.248046875E2,1.000000000E1,1.000000000E1
1.764735715E2,5.210013265E1,5.135065606E0,2.047451019E0,2.519999981E0,1.300781250E2,5.000000000E0,5.000000000E0
1.774735709E2,5.210010771E1,5.135111958E0,1.993373871E0,2.920000076E0,1.307812500E2,5.000000000E0,5.000000000E0
1.784735687E2,5.210009418E1,5.135156969E0,1.917263031E0,3.140000105E0,1.121484375E2,5.000000000E0,5.000000000E0
