"Time (s)","X (hPa)"
4.455491080E2,1.008969269E3
4.465903080E2,1.008964844E3
4.476296910E2,1.008961716E3
4.486688320E2,1.008955841E3
4.497101310E2,1.008949356E3
4.507503760E2,1.008941727E3
4.517908830E2,1.008930969E3
4.528322810E2,1.008919754E3
4.538734360E2,1.008908844E3
4.549146970E2,1.008893204E3
4.559558450E2,1.008880310E3
4.569969420E2,1.008867340E3
4.580378310E2,1.008852615E3
4.590789710E2,1.008842392E3
4.601198620E2,1.008833771E3
4.611588600E2,1.008825912E3
4.621997830E2,1.008817749E3
4.632405790E2,1.008814468E3
4.642817800E2,1.008814468E3
4.653224630E2,1.008815765E3
4.663630960E2,1.008816605E3
4.674040340E2,1.008816605E3
4.684446210E2,1.008821945E3
4.694854280E2,1.008822250E3
4.705260450E2,1.008823090E3
4.715666930E2,1.008827820E3
4.726072110E2,1.008836670E3
4.736477360E2,1.008845749E3
4.746881440E2,1.008856888E3
4.757286090E2,1.008867798E3
4.767692650E2,1.008879700E3
4.778095240E2,1.008882523E3
4.788498850E2,1.008884048E3
4.798902810E2,1.008884048E3
4.809307390E2,1.008878937E3
4.819711030E2,1.008872528E3
4.830112860E2,1.008867569E3
4.840516510E2,1.008863297E3
4.850918750E2,1.008854904E3
4.861324910E2,1.008850784E3
4.871729220E2,1.008846207E3
4.882132450E2,1.008841705E3
4.892537690E2,1.008832932E3
4.902944290E2,1.008825684E3
4.913351340E2,1.008813400E3
4.923757960E2,1.008804169E3
4.934166530E2,1.008804169E3
4.944573790E2,1.008804245E3
4.954968500E2,1.008805923E3
4.965369410E2,1.008809586E3
4.975777550E2,1.008809586E3
4.986188510E2,1.008804703E3
4.996595460E2,1.008800507E3
5.007000220E2,1.008798752E3
5.017410030E2,1.008798752E3
5.027813290E2,1.008803101E3
5.038219020E2,1.008804932E3
5.048625600E2,1.008806152E3
5.059031980E2,1.008809128E3
5.069438650E2,1.008811798E3
5.079846110E2,1.008819351E3
5.090249640E2,1.008826675E3
