"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.832422962E2,2.472109222E0,1.117575989E0,9.452094269E0
3.836426303E2,2.537373505E0,9.229806519E-1,9.698781281E0
3.840429292E2,2.331102448E0,7.776329041E-1,9.604477386E0
3.844432282E2,2.379601593E0,5.924679565E-1,9.513915710E0
3.848435344E2,2.469414825E0,7.297325134E-1,9.934840393E0
3.852438644E2,2.442171478E0,1.144669647E0,9.533674622E0
3.856441926E2,2.682272186E0,1.063538361E0,9.713750153E0
3.860445526E2,2.647394714E0,1.054257660E0,1.015997223E1
3.864448826E2,2.720293121E0,7.412585449E-1,1.050934570E1
3.868451725E2,2.275717621E0,8.138575745E-1,9.308542786E0
3.872454405E2,2.716850281E0,1.132095795E0,9.685309296E0
3.876457169E2,2.540966034E0,1.315913544E0,9.327403564E0
3.880460459E2,2.711910553E0,1.014290771E0,1.001776794E1
3.884463449E2,2.513423309E0,1.049467621E0,9.311087494E0
3.888466935E2,2.712808685E0,1.088087311E0,1.030996033E1
3.892470225E2,2.278861084E0,1.150507507E0,9.444011078E0
3.896473354E2,2.376607819E0,1.079854431E0,9.919721832E0
3.900476954E2,2.818189545E0,9.364526367E-1,9.594298553E0
3.904480254E2,2.652933197E0,1.172960815E0,9.499246216E0
3.908484173E2,2.712060242E0,1.122515717E0,9.637109528E0
3.912487773E2,2.222278748E0,1.345102844E0,9.298214264E0
3.916491397E2,2.395318909E0,1.216969299E0,9.229956207E0
3.920494698E2,2.188598785E0,8.770262146E-1,9.235345001E0
3.924497987E2,2.423161011E0,1.017284546E0,9.700278168E0
3.928501337E2,2.460283813E0,1.093176727E0,9.448352051E0
3.932504638E2,2.499202881E0,1.122815094E0,9.304351501E0
3.936508018E2,2.452050934E0,9.053173828E-1,9.650282135E0
3.940511618E2,2.605930939E0,9.949809265E-1,9.913135529E0
3.944515218E2,2.668500824E0,1.028960266E0,9.624086609E0
3.948518624E2,2.568508759E0,9.276210022E-1,9.598340149E0
3.952521924E2,2.529290314E0,1.082848206E0,9.130712585E0
3.956524703E2,2.615810394E0,1.144819336E0,9.801467743E0
3.960528303E2,2.542313232E0,9.880952454E-1,9.661359100E0
3.964531903E2,2.280507660E0,1.291663971E0,9.408684540E0
3.968535617E2,2.512974243E0,1.015338593E0,9.478589172E0
3.972540137E2,2.468965759E0,8.340655518E-1,9.482930145E0
3.976544315E2,2.757565613E0,1.001866608E0,9.568252716E0
3.980548525E2,2.536026306E0,1.300345917E0,9.301657104E0
3.984552745E2,2.489922180E0,1.234183502E0,9.424401855E0
3.988556205E2,2.666854248E0,1.259480896E0,9.541308746E0
3.992559805E2,2.559976501E0,1.372495880E0,9.540260925E0
3.996563797E2,2.856509857E0,1.274150391E0,9.870324554E0
4.000567698E2,2.722388763E0,9.351054382E-1,9.988728333E0
4.004571608E2,2.633473663E0,1.064436493E0,9.539063416E0
4.008576011E2,2.280507660E0,1.066831512E0,9.348210297E0
4.012580521E2,2.487527161E0,1.128353577E0,9.582024078E0
4.016584554E2,2.743794250E0,1.366807709E0,9.354796600E0
4.020588764E2,2.342029724E0,1.310973816E0,9.674980774E0
4.024592674E2,2.652633820E0,1.292412415E0,9.203311615E0
4.028597090E2,2.745740204E0,7.216493225E-1,1.000818787E1
4.032601000E2,2.569556580E0,8.092172241E-1,8.903036041E0
4.036604939E2,2.721191254E0,1.079854431E0,9.934690704E0
4.040608849E2,2.421664124E0,1.085841980E0,9.333840179E0
4.044613059E2,2.425855408E0,1.180295563E0,9.570947113E0
4.048617066E2,2.153421936E0,1.160686340E0,8.844058685E0
4.052620666E2,2.530487823E0,9.312135315E-1,9.545949097E0
4.056624342E2,2.481240234E0,9.816586304E-1,9.422904968E0
4.060628552E2,2.597698059E0,9.033714294E-1,9.794432373E0
4.064632763E2,2.524350586E0,9.903405762E-1,9.539063416E0
4.068637163E2,2.440824280E0,9.183403015E-1,9.740843811E0
4.072641373E2,2.415377197E0,9.030720520E-1,9.532626801E0
4.076645098E2,2.567460938E0,9.711804199E-1,9.562714233E0
